1, Delhi
2, Mumbai
3, Kolkata
4, Chennai
5, Bangalore
6, Hyderabad
7, Pune
8, Ahmedabad
9, Jaipur
10, Surat
11, Lucknow
12, Kanpur
13, Nagpur
14, Visakhapatnam
15, Patna
16, Bhopal
17, Vadodara
18, Chandigarh
19, Cochin
20, Indore
1, 2, 1400
1, 3, 1500
1, 4, 2200
1, 5, 1800
1, 6, 1600
1, 7, 1500
1, 8, 1000
1, 9, 280
1, 10, 1400
1, 11, 500
1, 12, 500
1, 13, 900
1, 14, 700
1, 15, 1100
1, 16, 800
1, 17, 900
1, 18, 300
1, 19, 2100
1, 20, 900
2, 3, 1700
2, 4, 2300
2, 5, 1300
2, 6, 1200
2, 7, 1000
2, 8, 800
2, 9, 2100
2, 10, 1300
2, 11, 1400
2, 12, 700
2, 13, 800
2, 14, 1000
2, 15, 1300
2, 16, 1500
2, 17, 1200
2, 18, 900
2, 19, 2200
2, 20, 1500
3, 4, 1800
3, 5, 1900
3, 6, 1600
3, 7, 1200
3, 8, 1400
3, 9, 2300
3, 10, 1600
3, 11, 1200
3, 12, 800
3, 13, 1000
3, 14, 1400
3, 15, 1700
3, 16, 1300
3, 17, 1500
3, 18, 1600
3, 19, 2400
